"Año";"Periodo";"Variación interanual del PIB"
"1996";"Año";"2,7"
"1997";"Año";"3,7"
"1998";"Año";"4,4"
"1999";"Año";"4,5"
"2000";"Año";"5,2"
"2001";"Año";"3,9"
"2002";"Año";"2,8"
"2003";"Año";"3"
"2004";"Año";"3,1"
"2005";"Año";"3,7"
"2006";"Año";"4,1"
"2007";"Año";"3,6"
"2008";"Año";"0,9"
"2009";"Año";"-3,7"
"2010";"Año";"0,1"
"2011";"Año";"-0,8"
"2012";"Año";"-3"
"2013";"Año";"-1,4"
"2014";"Año";"1,4"
"2015";"Año";"3,8"
"2016";"Año";"3"
"2017";"Año";"2,9"
"2018";"Año";"2,4"
"2019";"Año";"2"
"2020";"Año";"1,6"
"2021";"Año";"1,6"
;;
;;
"Métrica":"Variación interanual del PIB"
"Fuente":"OCDE"
"Clasificación":""
"Unidad":"%"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/previsiones-pib-espanol-ocde/547e74ac-15cc-4d46-af09-784f5d5b6abd"
"Titulo":"Las previsiones sobre el PIB español de la OCDE"
"Subtitulo":""
