"Año";"Periodo";"Parámetro";"Cifras de población"
"2019";"Semestre 1";"Álava";"0,62"
"2019";"Semestre 1";"Albacete";"-0,22"
"2019";"Semestre 1";"Alicante";"0,94"
"2019";"Semestre 1";"Almería";"0,83"
"2019";"Semestre 1";"Ávila";"-0,43"
"2019";"Semestre 1";"Badajoz";"-0,37"
"2019";"Semestre 1";"Islas Baleares";"1,79"
"2019";"Semestre 1";"Barcelona";"1,07"
"2019";"Semestre 1";"Burgos";"-0,17"
"2019";"Semestre 1";"Cáceres";"-0,66"
"2019";"Semestre 1";"Cádiz";"0,04"
"2019";"Semestre 1";"Castellón";"0,34"
"2019";"Semestre 1";"Ciudad Real";"-0,68"
"2019";"Semestre 1";"Córdoba";"-0,35"
"2019";"Semestre 1";"A Coruña";"0,05"
"2019";"Semestre 1";"Cuenca";"-0,4"
"2019";"Semestre 1";"Girona";"1,06"
"2019";"Semestre 1";"Granada";"0,22"
"2019";"Semestre 1";"Guadalajara";"1,18"
"2019";"Semestre 1";"Guipúzcoa ";"0,39"
"2019";"Semestre 1";"Huelva";"0,36"
"2019";"Semestre 1";"Huesca";"0,06"
"2019";"Semestre 1";"Jaén";"-0,74"
"2019";"Semestre 1";"León";"-0,76"
"2019";"Semestre 1";"Lleida";"0,47"
"2019";"Semestre 1";"La Rioja";"0,22"
"2019";"Semestre 1";"Lugo";"-0,58"
"2019";"Semestre 1";"Madrid";"1,39"
"2019";"Semestre 1";"Málaga";"0,57"
"2019";"Semestre 1";"Murcia";"0,82"
"2019";"Semestre 1";"Navarra";"0,95"
"2019";"Semestre 1";"Ourense";"-0,46"
"2019";"Semestre 1";"Asturias";"-0,52"
"2019";"Semestre 1";"Palencia";"-0,68"
"2019";"Semestre 1";"Las Palmas";"1,13"
"2019";"Semestre 1";"Pontevedra";"0"
"2019";"Semestre 1";"Salamanca";"-0,41"
"2019";"Semestre 1";"Santa Cruz de Tenerife";"1,66"
"2019";"Semestre 1";"Cantabria";"0,07"
"2019";"Semestre 1";"Segovia";"-0,18"
"2019";"Semestre 1";"Sevilla";"0,22"
"2019";"Semestre 1";"Soria";"-0,2"
"2019";"Semestre 1";"Tarragona";"0,97"
"2019";"Semestre 1";"Teruel";"-0,38"
"2019";"Semestre 1";"Toledo";"0,72"
"2019";"Semestre 1";"Valencia";"0,36"
"2019";"Semestre 1";"Valladolid";"-0,09"
"2019";"Semestre 1";"Vizcaya";"0,21"
"2019";"Semestre 1";"Zamora";"-1,3"
"2019";"Semestre 1";"Zaragoza";"0,84"
"2019";"Semestre 1";"Ceuta";"-0,43"
"2019";"Semestre 1";"Melilla";"0,01"
;;
;;
"Métrica":"Cifras de población"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/provincias-pierden-poblacion-ganan/fc31d767-1793-43f1-bf6f-c4967ae3c44e"
"Titulo":"Las provincias que perdieron población y las que la ganaron entre enero de 2018 y 2019"
"Subtitulo":""
